,Date,Vélib,Pollution,année
0,January,9.6304567761784,70.18361034164359,2019
1,February,11.793360974389303,112.86067864271456,2019
2,March,11.61626902430792,70.35870445344129,2019
3,April,12.63296049580073,74.45965432098765,2019
4,May,12.220798463325188,60.84918946301925,2019
5,June,14.221031267722555,53.11294838145233,2019
6,July,15.860307160814912,40.18650362318841,2019
7,August,12.246371560934366,43.00491954022988,2019
8,September,19.47253570144365,52.15119214586256,2019
9,October,16.431601080481393,56.376376811594206,2019
10,November,12.34090615350241,63.10824022346369,2019
11,December,23.64934168216821,65.8575329566855,2019
12,January,23.008221326164872,53.27105788423154,2020
13,February,15.2388093575419,39.896370499999996,2020
14,March,10.512081468866182,26.521683389074695,2020
15,April,4.458873456790124,24.906654991243432,2020
16,May,19.51620149897581,21.89314388813712,2020
17,June,30.08130876068376,30.32172494172494,2020
18,July,28.596539272963323,26.666307277628032,2020
19,August,19.12258823651109,16.42156862745098,2020
20,September,32.33127288842138,44.777809388335704,2020
21,October,22.774213027894653,38.68375394321766,2020
22,November,15.810987440812156,43.244146825396825,2020
23,December,14.482757789603578,39.958333333333336,2020
24,January,41.9480199887873,43.8127927927928,2021
25,February,46.36041470199925,42.43432984554061,2021
26,March,60.24500999794914,41.22574931880109,2021
27,April,56.97840177133655,32.416295264623955,2021
28,May,58.35456201756132,26.94526693584567,2021
29,June,78.17480546291884,30.228869047619053,2021
30,July,64.60532945736435,27.57479224376731,2021
31,August,49.659062980030725,22.09247311827957,2021
32,September,84.04581808563604,47.69053794428434,2021
33,October,70.143710680001,54.75117117117117,2021
34,November,60.75703541079709,65.8244289044289,2021
35,December,48.02999416487503,57.122630385487525,2021
