,Date,Vélib,Pollution,année
0,January,23.008221326164872,53.27105788423154,2020
1,February,15.2388093575419,39.896370499999996,2020
2,March,10.512081468866182,26.521683389074695,2020
3,April,4.458873456790124,24.906654991243432,2020
4,May,19.51620149897581,21.89314388813712,2020
5,June,30.08130876068376,30.32172494172494,2020
6,July,28.596539272963323,26.666307277628032,2020
7,August,19.12258823651109,16.42156862745098,2020
8,September,32.33127288842138,44.777809388335704,2020
9,October,22.774213027894653,38.68375394321766,2020
10,November,15.810987440812156,43.244146825396825,2020
11,December,14.482757789603578,39.958333333333336,2020
